,Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price
118,Bushmills,Branded Glass & Black Bush Irish,Irish,70cl,,40% ABV,£38.95
119,Bushmills,The Causeway Collection - Rum Cask Whiskey (UK,,70cl,"25 Year Old
·
1997
Vintage",2% ABV,£348.95
120,Midleton,Very Rare Barry Crockett Legacy,Very Rare,70cl,,46% ABV,£289.95
121,Midleton,Very Rare 2025 Edition,Very Rare,70cl,,40% ABV,£219.95
122,Midleton,Forêt De Troncais Edition 2,,70cl,,48% ABV,"£4,399.95"
123,Midleton,Very Rare Silent Distillery Chapter 5,Very Rare,70cl,"49 Year Old
·
1973
Vintage",4% ABV,"£47,999.95"
124,Midleton,Very Rare 40th Anniversary Ruby,Very Rare,70cl,,40% ABV,"£17,699.95"
125,Midleton,Very Rare 2024 Edition,Very Rare,70cl,,40% ABV,£199.95
126,Midleton,Very Rare Foret De Troncais,Very Rare,70cl,,48% ABV,"£4,274.95"
127,Midleton,Very Rare 2023 Edition,Very Rare,70cl,,40% ABV,£249.95
128,Midleton,Very Rare Silent Distillery Chapter 3,Very Rare,70cl,47 Year Old,7% ABV,"£41,999.95"
129,Midleton,Very Rare 2022 Edition,Very Rare,70cl,,40% ABV,£599.95
130,Midleton,Dair Ghaelach Knockrath Forest - Tree 2,,70cl,,3% ABV,£799.95
131,Midleton,Dair Ghaelach Knockrath Forest - Tree 5,,70cl,,5% ABV,£999.95
132,Midleton,Very Rare 2021 Edition,Very Rare,70cl,,40% ABV,£599.95
133,Midleton,Very Rare 2020 Edition,Very Rare,70cl,,40% ABV,"£1,499.95"
134,Midleton,Very Rare 2019 Edition,Very Rare,70cl,,40% ABV,£999.95
135,Midleton,Very Rare 2013 Edition,Very Rare,70cl,,40% ABV,"£1,499.95"
136,Midleton,Very Rare 2017 Edition,Very Rare,70cl,,40% ABV,"£1,099.95"
137,Midleton,Very Rare 2001 Edition,Very Rare,70cl,,40% ABV,"£1,599.95"
138,Midleton,Very Rare 2018 Edition,Very Rare,70cl,,40% ABV,£999.95
139,Midleton,Very Rare 2017 Edition,Very Rare,70cl,,40% ABV,"£1,499.95"
140,Redbreast,Single Pot Still Irish,Irish,70cl,18 Year Old,46% ABV,£182.95
141,Redbreast,Single Pot Still Irish,Irish,70cl,12 Year Old,40% ABV,£54.95
142,Redbreast,Single Pot Still Irish,Irish,70cl,21 Year Old,46% ABV,£294.95
143,Redbreast,Single Pot Still Irish - Batch 6,Irish,70cl,27 Year Old,9% ABV,£544.95
144,Redbreast,Iberian Series #1 Single Pot Still PX,,70cl,,46% ABV,£76.95
145,Redbreast,Glass & Single Pot Still,,70cl,21 Year Old,46% ABV,£294.95
146,Redbreast,Glass & Single Pot Still Irish,Irish,70cl,12 Year Old,40% ABV,£59.95
147,Redbreast,Tasting Glass & Single Pot Still Irish,Irish,70cl,12 Year Old,40% ABV,£57.95
148,Redbreast,Cask Strength Batch B1/23,,70cl,12 Year Old,2% ABV,£89.95
149,Redbreast,Birdfeeder & Single Malt,,70cl,12 Year Old,40% ABV,£69.95
150,Redbreast,Iberian Series #2 Single Pot Still Tawny Port,,70cl,,46% ABV,£149.95
